time,value
847.3,45
847.8,58
850,48
851.2,61
852.1,40
853.2,45
856.6,48
858.2,17
858.8,56
860.9,31
862.2,58
864.2,58
865.1,61
867.1,10
868.3,57
869.2,6
870.3,25
875.5,52
877.3,51
882.1,51
883.2,54
884.3,53
885.4,53
886,23
887.2,43
888,49
889.4,52
892.2,58
893.2,50
895,33
897.3,38
902.2,19
903.1,12
905,28
907.2,59
908.3,63
910.2,46
911.1,17
912.1,35
913.3,36
914.3,12
915.1,57
916.1,46
917.9,49
919.1,42
920.2,59
922,40
924.1,37
925,57
926.3,53
927.2,44
931.1,47
934.5,43
935.3,48
937.1,60
938.5,53
940,50
941,33
942,6
943.2,13
947.2,59
948.3,38
949.4,70
950,52
952.1,43
955,8
958.5,37
959.1,46
960.2,39
962.1,51
964.3,62
965.5,39
966.6,47
968.3,47
969.2,43
970,31
971.3,3
972.3,45
974.1,46
975.2,29
977.2,8
978,8
980.1,54
982.3,48
984.2,43
986.3,68
988.2,49
991,44
992.3,21
994.2,31
996.9,43
1001.3,42
1002,64
1003.2,48
1004,10
1005.1,42
1006.3,61
1008.1,42
1010,20
1011.1,54
1014.1,7
1015.2,51
1016,56
1016.6,1
1018.5,48
1019.5,29
1020.2,32
1021.1,34
1022.3,48
1023.4,76
1024,13
1025.3,36
1026.1,52
1026.6,33
1029.1,55
1030.1,56
1031.6,8
1033.1,3
1034.4,45
1036,51
1037.3,51
1039.2,51
1040.4,8
1041,22
1044.2,9
1047.1,60
1049,49
1050.3,9
